last,city,state,zip,s/o,candidate,race,committee,date,amount,sector,cycle
Amalgamated Transit Union 1277 PAC,Los Angeles,CA,90031,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/15/13,2493,Union,Runoff
Amalgamated Transit Union 1277 PAC,Los Angeles,CA,90031,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/15/13,450,Union,Runoff
Amalgamated Transit Union 1277 PAC,Los Angeles,CA,90031,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/15/13,688,Union,Runoff
"American Federation of State, County and Municipal Employees, AFL-CIO",Sacramento,CA,95814,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/13/13,7523,Union,Runoff
"American Federation of State, County and Municipal Employees, AFL-CIO",Sacramento,CA,95814,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/03/13,9042,Union,Runoff
"American Federation of State, County and Municipal Employees, AFL-CIO",Sacramento,CA,95814,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/13/13,2400,Union,Runoff
Angeles Chapter of the Sierra Club PAC,Los Angeles,CA,90010,S,Garcetti,Mayor,Garcetti for Mayor 2013 - General,05/13/13,114,Foundations,Runoff
Angeles Chapter of the Sierra Club PAC,Los Angeles,CA,90010,S,Garcetti,Mayor,Garcetti for Mayor 2013 - General,05/13/13,17,Foundations,Runoff
Angeles Chapter of the Sierra Club PAC,Los Angeles,CA,90010,S,Garcetti,Mayor,Garcetti for Mayor 2013 - General,05/13/13,115,Foundations,Runoff
"Blatt, James and Blanche",West Hollywood,CA,90069,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/14/13,1690,Other,Runoff
California Law and Order Independent Expenditure Committee Sponsored by the Los Angeles Police Protective League,Los Angeles,CA,90017,S,Greuel,Mayor,Wendy Greuel for Mayor 2013,02/08/13,305000,Union,Primary
California Law and Order Independent Expenditure Committee Sponsored by the Los Angeles Police Protective League,Los Angeles,CA,90017,S,Greuel,Mayor,Wendy Greuel for Mayor 2013,02/08/13,26813,Union,Primary
California Law and Order Independent Expenditure Committee Sponsored by the Los Angeles Police Protective League,Los Angeles,CA,90017,S,Greuel,Mayor,Wendy Greuel for Mayor 2013,02/21/13,1750,Union,Primary
California Law and Order Independent Expenditure Committee Sponsored by the Los Angeles Police Protective League,Los Angeles,CA,90017,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/16/13,15000,Union,Runoff
California Law and Order Independent Expenditure Committee Sponsored by the Los Angeles Police Protective League,Los Angeles,CA,90017,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/15/13,100384,Union,Runoff
California Law and Order Independent Expenditure Committee Sponsored by the Los Angeles Police Protective League,Los Angeles,CA,90017,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/15/13,19559,Union,Runoff
California Law and Order Independent Expenditure Committee Sponsored by the Los Angeles Police Protective League,Los Angeles,CA,90017,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/09/13,19559,Union,Runoff
California Law and Order Independent Expenditure Committee Sponsored by the Los Angeles Police Protective League,Los Angeles,CA,90017,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/06/13,100384,Union,Runoff
California Law and Order Independent Expenditure Committee Sponsored by the Los Angeles Police Protective League,Los Angeles,CA,90017,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/06/13,52800,Union,Runoff
California Law and Order Independent Expenditure Committee Sponsored by the Los Angeles Police Protective League,Los Angeles,CA,90017,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/08/13,35000,Union,Runoff
California Law and Order Independent Expenditure Committee Sponsored by the Los Angeles Police Protective League,Los Angeles,CA,90017,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/09/13,300000,Union,Runoff
California Law and Order Independent Expenditure Committee Sponsored by the Los Angeles Police Protective League,Los Angeles,CA,90017,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/06/13,43750,Union,Runoff
California Law and Order Independent Expenditure Committee Sponsored by the Los Angeles Police Protective League,Los Angeles,CA,90017,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/13/13,10000,Union,Runoff
California Law and Order Independent Expenditure Committee Sponsored by the Los Angeles Police Protective League,Los Angeles,CA,90017,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/13/13,100384,Union,Runoff
California Law and Order Independent Expenditure Committee Sponsored by the Los Angeles Police Protective League,Los Angeles,CA,90017,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/14/13,19559,Union,Runoff
California Law and Order Independent Expenditure Committee Sponsored by the Los Angeles Police Protective League,Los Angeles,CA,90017,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/06/13,5625,Union,Runoff
California Law and Order Independent Expenditure Committee Sponsored by the Los Angeles Police Protective League,Los Angeles,CA,90017,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/08/13,110000,Union,Runoff
California Teamsters Public Affairs Council Public Affairs,Los Angeles,CA,95814,S,Garcetti,Mayor,Garcetti for Mayor 2013,03/02/13,800,Union,Primary
California Teamsters Public Affairs Council Public Affairs,Los Angeles,CA,95814,S,Garcetti,Mayor,Garcetti for Mayor 2013,03/02/13,240,Union,Primary
California Teamsters Public Affairs Council Public Affairs,Los Angeles,CA,95814,S,Garcetti,Mayor,Garcetti for Mayor 2013,03/02/13,300,Union,Primary
California Teamsters Public Affairs Council Public Affairs,Los Angeles,CA,95814,S,Garcetti,Mayor,Garcetti for Mayor 2013,03/02/13,53,Union,Primary
California Teamsters Public Affairs Council Public Affairs,Los Angeles,CA,95814,S,Garcetti,Mayor,Garcetti for Mayor 2013,03/05/13,128,Union,Primary
California Teamsters Public Affairs Council Public Affairs,Los Angeles,CA,95814,S,Garcetti,Mayor,Garcetti for Mayor 2013,03/05/13,52,Union,Primary
California Teamsters Public Affairs Council Public Affairs,Los Angeles,CA,95814,S,Garcetti,Mayor,Garcetti for Mayor 2013 - General,04/27/13,156,Union,Runoff
California Teamsters Public Affairs Council Public Affairs,Los Angeles,CA,95814,S,Garcetti,Mayor,Garcetti for Mayor 2013 - General,04/27/13,250,Union,Runoff
California Teamsters Public Affairs Council Public Affairs,Los Angeles,CA,95814,S,Garcetti,Mayor,Garcetti for Mayor 2013 - General,05/04/13,162,Union,Runoff
"Chef Robert Catering, Inc.",West Hollywood,CA,90046,S,Garcetti,Mayor,Garcetti for Mayor 2013 - General,04/08/13,954,Food & liquor,Runoff
"Cimmarusti, Lawrence",Los Angeles,CA,90039,S,Garcetti,Mayor,Garcetti for Mayor 2013,01/03/13,150,Food & liquor,Primary
Coalition for Better Schools and Communities Sponsored by the Los Angeles County Federation of Labor AFL-CIO,Los Angeles,CA,90017,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/15/13,1440,Union,Runoff
Coalition for Better Schools and Communities Sponsored by the Los Angeles County Federation of Labor AFL-CIO,Los Angeles,CA,90017,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/15/13,34931,Union,Runoff
Coalition for Better Schools and Communities Sponsored by the Los Angeles County Federation of Labor AFL-CIO,Los Angeles,CA,90017,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/15/13,35352,Union,Runoff
Coalition for Better Schools and Communities Sponsored by the Los Angeles County Federation of Labor AFL-CIO,Los Angeles,CA,90017,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/06/13,47818,Union,Runoff
Coalition for Better Schools and Communities Sponsored by the Los Angeles County Federation of Labor AFL-CIO,Los Angeles,CA,90017,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,04/30/13,6883,Union,Runoff
Coalition for Better Schools and Communities Sponsored by the Los Angeles County Federation of Labor AFL-CIO,Los Angeles,CA,90017,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,04/30/13,6460,Union,Runoff
Coalition for Better Schools and Communities Sponsored by the Los Angeles County Federation of Labor AFL-CIO,Los Angeles,CA,90017,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,04/30/13,39495,Union,Runoff
Coalition for Better Schools and Communities Sponsored by the Los Angeles County Federation of Labor AFL-CIO,Los Angeles,CA,90017,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/02/13,1333,Union,Runoff
Coalition for Better Schools and Communities Sponsored by the Los Angeles County Federation of Labor AFL-CIO,Los Angeles,CA,90017,S,Greuel,Mayor,Wendy Greuel for Mayor 2013 - General,05/04/13,295,Union,Runoff
